Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6723","Yorkshire and The Humber","North Yorkshire","A172","PR","450000","504940","A19(T)","A173","7.83","57","255","15654","132","1705","470","100","60","40","224","120","1014","18761"
"2000","7346","Yorkshire and The Humber","East Riding of Yorkshire","A614","TR","475000","427850","A614 spur to M62","A63","1.12","22","58","5009","42","822","229","46","13","75","252","140","755","6686"
"2000","7347","Yorkshire and The Humber","Doncaster","A614","PU","468700","413000","A1146","Omega Boulevard","1.37","29","43","4784","118","614","70","8","2","1","2","0","82","5640"
"2000","7354","Yorkshire and The Humber","Barnsley","A616","TR","420000","401251","A628","LA Boundary","3.67","3","82","8338","134","1479","766","67","27","341","825","471","2497","12530"
"2000","7355","Yorkshire and The Humber","Sheffield","A6135","PU","438500","384860","LA Boundary","A6102","4.29","41","228","26782","1591","2595","628","35","50","56","20","19","808","32004"
"2000","7360","Yorkshire and The Humber","Rotherham","A618","PU","444000","390800","A631","A6021","1.68","15","45","7337","131","478","63","4","1","2","6","1","76","8068"
"2000","7375","Yorkshire and The Humber","Wakefield","A639","PU","445460","421000","A645","A628","0.56","8","24","2953","50","184","194","9","7","10","8","10","239","3450"
"2000","7377","Yorkshire and The Humber","Bradford","A629","PR","406600","435000","A629","B6144","3.29","20","107","13149","122","2430","640","121","160","101","174","47","1243","17051"
"2000","7378","Yorkshire and The Humber","Barnsley","A629","PR","425000","404540","A628","LA Boundary","2.86","7","59","6241","29","512","237","44","19","46","65","41","452","7293"
"2000","7379","Yorkshire and The Humber","Rotherham","A629","PR","439000","394500","M1","Oaks Lane","1.8","16","58","9037","164","1272","237","32","19","55","108","106","557","11087"
"2000","7380","Yorkshire and The Humber","Sheffield","A6178","PU","438000","388900","B6200","A6102","0.93","26","39","3985","126","912","207","32","27","19","35","25","346","5407"
"2000","7382","Yorkshire and The Humber","Rotherham","A631","PU","448000","391900","A6021","M18","2.42","14","74","26023","389","2473","428","67","60","58","165","92","871","29830"
"2000","7387","Yorkshire and The Humber","Barnsley","A633","PU","435000","408850","A628","A61","2.11","34","54","5329","80","891","173","18","13","13","12","11","240","6593"
"2000","7388","Yorkshire and The Humber","Rotherham","A633","PU","443850","400000","A6022","A6023","1.37","8","35","3930","112","598","104","15","14","9","12","6","159","4833"
"2000","7392","Yorkshire and The Humber","Kirklees","A635","PR","418000","408600","A616","A629","2.11","32","85","6389","48","881","179","22","18","12","13","17","261","7664"
"2000","7395","Yorkshire and The Humber","Kirklees","A638","PU","425000","421690","LA Boundary","A653","1.3","23","100","9282","198","1485","247","49","56","64","153","75","644","11709"
"2000","7396","Yorkshire and The Humber","Wakefield","A638","PR","440000","417650","A628","A645","4.54","30","521","18285","314","2160","526","86","88","56","95","96","948","22228"
"2000","7397","Yorkshire and The Humber","Doncaster","A638","PU","457000","403740","A630","A19","0.56","81","113","9419","261","1186","233","28","42","20","40","31","393","11372"
"2000","7398","Yorkshire and The Humber","Leeds","A639","PU","436100","428000","A654","A642","0.31","3","13","1699","30","247","29","7","8","6","9","5","65","2055"
"2000","7399","Yorkshire and The Humber","Wakefield","A639","PU","444050","424300","A656","M62","0.75","9","35","4259","64","570","201","36","20","13","25","25","320","5249"
"2000","7400","Yorkshire and The Humber","Kirklees","A640","PR","405000","415200","B6114","M62/A643","6.21","16","20","1935","34","275","66","30","0","0","7","9","111","2377"
"2000","7401","Yorkshire and The Humber","Bradford","A641","PU","414830","426000","LA Boundary","A58","0.12","2","7","539","13","70","21","2","1","1","1","1","26","655"
"2000","7402","Yorkshire and The Humber","Leeds","A642","PR","436040","427000","M62","Oulton Drive","0.99","13","46","4568","41","635","69","20","40","20","52","19","220","5512"
"2000","7403","Yorkshire and The Humber","Leeds","A643","PU","427560","429830","A650","A6110","2.61","51","129","12001","472","1786","197","17","8","20","12","27","281","14669"
"2000","7404","Yorkshire and The Humber","Kirklees","A643","PU","417800","425000","A649","A638 mid-junction","1.3","21","22","2821","74","366","68","7","1","2","3","1","83","3365"
"2000","7405","Yorkshire and The Humber","Bradford","A644","PU","410680","430000","A647","LA Boundary","0.75","4","14","2254","25","367","78","10","13","8","17","10","135","2795"
"2000","7406","Yorkshire and The Humber","Calderdale","A644","PU","416960","422000","M62","A62","1.18","11","57","7042","28","1472","469","69","56","93","166","115","968","9567"
"2000","7407","Yorkshire and The Humber","Wakefield","A645","PU","450030","423800","A645 spur","Trundles Lane","1.8","59","56","6100","114","745","123","28","59","49","111","65","434","7449"
"2000","7408","Yorkshire and The Humber","Calderdale","A646","TU","390000","426130","LA Boundary","Cross Lee Rd, Todmorden","2.3","17","20","3198","69","711","82","12","25","16","20","4","159","4158"
"2000","7409","Yorkshire and The Humber","Bradford","A6181","PU","416330","432800","A641","A650","0.19","2","8","1403","19","154","27","2","1","1","1","1","34","1618"
"2000","7410","Yorkshire and The Humber","Leeds","A647","PU","424500","434000","A6110","A657","0.5","1","27","3782","59","420","100","9","5","8","9","7","137","4426"
"2000","7412","Yorkshire and The Humber","Kirklees","A649","PU","416500","425000","LA Boundary","A643","0.31","2","6","612","1","87","11","2","1","1","1","0","15","721"
"2000","7413","Yorkshire and The Humber","Bradford","A650","TU","414000","437600","A657","A6038","0.81","22","40","5313","87","653","176","14","11","28","36","30","295","6389"
"2000","7415","Yorkshire and The Humber","Leeds","A650","PU","430000","425120","A654","M1","1.68","33","53","8908","154","1505","68","4","6","4","3","1","85","10706"
"2000","7416","Yorkshire and The Humber","Kirklees","A651","PU","421000","425000","A62","A643","1.06","7","12","1906","11","246","66","11","5","3","3","2","89","2264"
"2000","7418","Yorkshire and The Humber","Leeds","A654","PR","435500","428500","Arran Way","A639","0.81","18","17","2109","14","285","28","4","17","1","1","1","51","2476"
"2000","7419","Yorkshire and The Humber","Wakefield","A655","PU","441400","425000","A639","A6032","1.18","26","61","4601","92","594","151","15","7","16","14","24","226","5575"
"2000","7420","Yorkshire and The Humber","North Yorkshire","A658","PR","429730","450000","A659","A61","4.97","51","189","19671","167","1277","373","89","131","51","198","42","884","22189"
"2000","7421","Yorkshire and The Humber","Bradford","A658","PU","417040","434000","A650","A6177","1.49","21","39","7090","181","741","140","8","7","5","4","3","168","8218"
"2000","7422","Yorkshire and The Humber","Leeds","A659","PR","430000","445300","A658","A61","4.41","68","94","10019","34","1048","107","36","47","36","52","26","302","11497"
"2000","7481","Yorkshire and The Humber","North Lincolnshire","A1029","PU","491670","409000","A18","B1501","0.87","29","55","3624","28","587","144","17","24","27","103","80","394","4689"
"2000","7482","Yorkshire and The Humber","Kingston upon Hull, City of","A1033","TU","515000","429150","Marfleet Avenue","LA Boundary","1.3","84","149","10015","89","1178","310","118","53","53","199","104","837","12267"
"2000","7483","Yorkshire and The Humber","East Riding of Yorkshire","A1035","PU","503400","440000","Norwood/New Walkergate/Henmgate","A1035 / A1174 (Swinemoor Lane)","0.93","168","58","4591","60","358","101","23","14","20","17","10","185","5252"
"2000","7484","Yorkshire and The Humber","North Yorkshire","A1041","TR","461900","430000","A645","Abbot's Rd, Selby","4.29","33","207","9101","116","1335","232","108","179","78","232","121","951","11711"
"2000","7504","Yorkshire and The Humber","North Lincolnshire","A1077","PR","505000","421820","B1218","B1206","2.61","66","119","5553","51","811","121","11","11","21","32","18","215","6749"
"2000","7505","Yorkshire and The Humber","East Riding of Yorkshire","A1079","TR","480000","447370","A1079 Kexby Bridge","A1079 / A614  Shiptonthorpe Jct","11.06","12","611","33632","271","6675","1822","279","170","514","1247","891","4923","46112"
"2000","7506","Yorkshire and The Humber","East Riding of Yorkshire","A1174","PU","505100","438660","A1079 South of Dunswell","B1230","3.67","298","246","16430","208","2508","790","91","56","119","87","48","1193","20584"
"2000","7728","Yorkshire and The Humber","Calderdale","A629","PU","409400","424000","A646","A58","1.49","23","108","11555","298","1603","213","45","31","35","69","25","419","13982"
"2000","7729","Yorkshire and The Humber","Calderdale","A6026","PU","407500","423600","A58","A629","2.24","55","118","7900","42","1303","253","36","14","14","33","22","372","9735"
"2000","7733","Yorkshire and The Humber","Calderdale","A6036","PU","411400","427000","A58","A644","1.55","9","59","6164","68","832","193","19","9","16","11","15","264","7387"
"2000","7734","Yorkshire and The Humber","Bradford","A6038","PU","414880","437400","A6037","A657","0.37","7","21","3489","41","386","73","5","10","6","6","5","105","4042"
"2000","7748","Yorkshire and The Humber","Kirklees","A6107","PU","415000","420300","A641","A62","1.74","13","89","8664","76","913","117","13","8","14","16","5","173","9915"
"2000","7750","Yorkshire and The Humber","Rotherham","A630","PU","442600","393140","A629","A633","0.56","4","40","5237","104","702","156","24","47","18","41","37","323","6406"
"2000","7755","Yorkshire and The Humber","Leeds","A6120","TU","430000","439030","A660(T)","A61","2.73","4","127","22997","126","2132","274","34","31","37","76","34","486","25869"
"2000","7758","Yorkshire and The Humber","Sheffield","A6135","PR","436000","397350","C-road Chapeltown","LA Boundary","0.5","3","10","1146","15","117","17","1","0","1","2","0","22","1311"
"2000","7810","Yorkshire and The Humber","North Yorkshire","A659","PR","448000","442980","A64","A162","2.24","34","92","4216","51","526","134","16","52","16","65","14","297","5182"
"2000","7811","Yorkshire and The Humber","Doncaster","A18","PU","458000","402500","A638","A638","0.99","55","92","12338","134","1412","196","23","31","23","23","14","309","14285"
"2000","7812","Yorkshire and The Humber","Barnsley","A61","PU","434900","405800","A6133","A635","0.19","4","5","535","53","66","16","1","1","2","2","3","25","684"
"2000","7813","Yorkshire and The Humber","Sheffield","A61","PU","435500","387730","Snig Hill","A57","0.12","4","8","697","58","102","19","3","1","2","2","2","29","894"
"2000","7815","Yorkshire and The Humber","Doncaster","A630","PU","457200","402700","A630/A18","A638","0.43","24","34","3121","163","408","64","7","4","7","4","4","91","3818"
"2000","7817","Yorkshire and The Humber","Sheffield","A6102","PU","438000","390040","A6109","A6135","1.06","21","49","5432","44","681","210","35","56","20","46","14","380","6587"
"2000","7818","Yorkshire and The Humber","Sheffield","A6102","PU","436000","381680","A61","A6135","3.67","58","352","33046","223","3944","1065","154","121","93","169","58","1660","39223"
"2000","7850","Yorkshire and The Humber","Leeds","A58","PU","430533","434519","A64(M)","A61 Meanwood Road","0.37","15","44","5706","32","583","49","5","5","5","5","3","72","6437"
"2000","7852","Yorkshire and The Humber","Calderdale","A6142","PU","407200","424000","A58","A58","0.56","5","12","1019","44","144","34","3","1","3","2","3","46","1264"
"2000","7853","Yorkshire and The Humber","Bradford","A6177","PU","415700","434600","A650","Bolton Lane","0.25","3","13","1477","12","204","34","2","1","3","2","2","44","1750"
"2000","7854","Yorkshire and The Humber","East Riding of Yorkshire","A164","PU","502800","438000","Wingfield Way roundabout","B1230 Cartwright Lane","0.99","71","53","7142","33","496","50","10","8","3","4","2","76","7801"
"2000","7973","Yorkshire and The Humber","Rotherham","A6021","PU","445500","391500","A6123","A631","0.56","10","18","3055","74","331","60","6","6","5","17","9","102","3580"
"2000","7974","Yorkshire and The Humber","Doncaster","A6182","PR","458780","400000","M18","Balby Carr Bank roundabout","0.81","0","24","4727","38","699","148","24","23","67","148","89","499","5987"
"2000","7975","Yorkshire and The Humber","Kirklees","A62","PU","414160","416800","A640","A629","0.06","0","5","613","6","74","10","2","2","2","4","1","20","718"
"2000","7979","Yorkshire and The Humber","East Riding of Yorkshire","A164","PR","501470","427000","A15(T)","B1232","3.42","20","110","15670","49","1769","533","140","76","131","228","146","1255","18852"
"2000","7997","Yorkshire and The Humber","North Lincolnshire","A18","PU","487000","411160","Hilton Avenue","Scotter Rd roundabout","0.19","4","15","956","11","135","39","3","3","9","21","17","92","1210"
"2000","8002","Yorkshire and The Humber","York","A64","TR","464170","455000","A1079/A166","A1237","2.55","0","95","27818","102","2931","835","162","101","240","631","428","2396","33342"
"2000","8012","Yorkshire and The Humber","Rotherham","A57","PR","446000","384300","B6200","A618","0.87","11","25","5847","33","732","164","18","12","24","25","10","252","6891"
"2000","8028","Yorkshire and The Humber","North East Lincolnshire","A1136","PU","524000","409100","Old Rd","B1444","1.24","180","64","6572","76","584","111","14","5","5","10","6","151","7447"
"2000","8144","Yorkshire and The Humber","Sheffield","A57","PU","433730","387226","B6069","A61","0.87","73","39","4027","183","417","89","21","23","4","3","2","140","4805"
"2000","8156","Yorkshire and The Humber","Doncaster","A18","PU","461078","405970","A630","A630","0.25","13","25","2358","26","248","51","8","4","10","16","13","103","2760"
